alcohol;malic_acid;ash;alcalinity_of_ash;magnesium;total_phenols;flavanoids;nonflavanoid_phenols;proanthocyanins;color_intensity;hue;od280/od315_of_diluted_wines;proline
12.77;2.39;2.28;19.50;86.00;1.39;0.51;0.48;0.64;9.90;0.57;1.63;470.00
13.07;1.50;2.10;15.50;98.00;2.40;2.64;0.28;1.37;3.70;1.18;2.69;1020.00
11.79;2.13;2.78;28.50;92.00;2.13;2.24;0.58;1.76;3.00;0.97;2.44;466.00
12.37;1.07;2.10;18.50;88.00;3.52;3.75;0.24;1.95;4.50;1.04;2.77;660.00
13.84;4.12;2.38;19.50;89.00;1.80;0.83;0.48;1.56;9.01;0.57;1.64;480.00
12.29;1.61;2.21;20.40;103.00;1.10;1.02;0.37;1.46;3.05;0.91;1.82;870.00
12.08;1.33;2.30;23.60;70.00;2.20;1.59;0.42;1.38;1.74;1.07;3.21;625.00
13.17;5.19;2.32;22.00;93.00;1.74;0.63;0.61;1.55;7.90;0.60;1.48;725.00
13.20;1.78;2.14;11.20;100.00;2.65;2.76;0.26;1.28;4.38;1.05;3.40;1050.00
11.84;0.89;2.58;18.00;94.00;2.20;2.21;0.22;2.35;3.05;0.79;3.08;520.00
11.82;1.47;1.99;20.80;86.00;1.98;1.60;0.30;1.53;1.95;0.95;3.33;495.00
12.86;1.35;2.32;18.00;122.00;1.51;1.25;0.21;0.94;4.10;0.76;1.29;630.00
12.93;3.80;2.65;18.60;102.00;2.41;2.41;0.25;1.98;4.50;1.03;3.52;770.00
14.20;1.76;2.45;15.20;112.00;3.27;3.39;0.34;1.97;6.75;1.05;2.85;1450.00
12.47;1.52;2.20;19.00;162.00;2.50;2.27;0.32;3.28;2.60;1.16;2.63;937.00
13.82;1.75;2.42;14.00;111.00;3.88;3.74;0.32;1.87;7.05;1.01;3.26;1190.00
12.87;4.61;2.48;21.50;86.00;1.70;0.65;0.47;0.86;7.65;0.54;1.86;625.00
13.52;3.17;2.72;23.50;97.00;1.55;0.52;0.50;0.55;4.35;0.89;2.06;520.00
13.76;1.53;2.70;19.50;132.00;2.95;2.74;0.50;1.35;5.40;1.25;3.00;1235.00
14.12;1.48;2.32;16.80;95.00;2.20;2.43;0.26;1.57;5.00;1.17;2.82;1280.00
12.42;1.61;2.19;22.50;108.00;2.00;2.09;0.34;1.61;2.06;1.06;2.96;345.00
12.53;5.51;2.64;25.00;96.00;1.79;0.60;0.63;1.10;5.00;0.82;1.69;515.00
12.70;3.55;2.36;21.50;106.00;1.70;1.20;0.17;0.84;5.00;0.78;1.29;600.00
13.64;3.10;2.56;15.20;116.00;2.70;3.03;0.17;1.66;5.10;0.96;3.36;845.00
12.17;1.45;2.53;19.00;104.00;1.89;1.75;0.45;1.03;2.95;1.45;2.23;355.00
13.50;1.81;2.61;20.00;96.00;2.53;2.61;0.28;1.66;3.52;1.12;3.82;845.00
12.29;1.41;1.98;16.00;85.00;2.55;2.50;0.29;1.77;2.90;1.23;2.74;428.00
12.37;1.17;1.92;19.60;78.00;2.11;2.00;0.27;1.04;4.68;1.12;3.48;510.00
